Tape & Reel (TR),Cut Tape (CT),Digi-Reel®
3000 for 586.23 6000 for 1140.36 9000 for 1686.42 15000 for 2766.15 21000 for 3836.07 30000 for 5430.0,1 for 0.45 10 for 3.15 25 for 7.03 100 for 24.38 250 for 56.49 500 for 107.6 1000 for 206.34,1 for 0.45 10 for 3.15 25 for 7.03 100 for 24.38 250 for 56.49 500 for 107.6 1000 for 206.34
3000 for 584.55 6000 for 1137.06 9000 for 1681.56 15000 for 2758.05 21000 for 3824.94 30000 for 5414.4,1 for 0.45 10 for 3.14 25 for 7.01 100 for 24.31 250 for 56.33 500 for 107.29 1000 for 205.76,1 for 0.45 10 for 3.14 25 for 7.01 100 for 24.31 250 for 56.33 500 for 107.29 1000 for 205.76
3000 for 592.92 6000 for 1153.44 9000 for 1705.86 15000 for 2798.1 21000 for 3880.59 30000 for 5493.0,1 for 0.46 10 for 3.18 25 for 7.11 100 for 24.65 250 for 57.12 500 for 108.81 1000 for 208.68,1 for 0.46 10 for 3.18 25 for 7.11 100 for 24.65 250 for 57.12 500 for 108.81 1000 for 208.68
3000 for 597.12 6000 for 1161.66 9000 for 1718.01 15000 for 2818.05 21000 for 3908.31 30000 for 5532.6,1 for 0.46 10 for 3.21 25 for 7.15 100 for 24.82 250 for 57.51 500 for 109.57 1000 for 210.15,1 for 0.46 10 for 3.21 25 for 7.15 100 for 24.82 250 for 57.51 500 for 109.57 1000 for 210.15
3000 for 597.12 6000 for 1161.66 9000 for 1718.01 15000 for 2818.05 21000 for 3908.31 30000 for 5532.6,1 for 0.46 10 for 3.21 25 for 7.15 100 for 24.82 250 for 57.51 500 for 109.57 1000 for 210.15,1 for 0.46 10 for 3.21 25 for 7.15 100 for 24.82 250 for 57.51 500 for 109.57 1000 for 210.15
5000 for 1750.0,1 for 0.46 25 for 9.25 100 for 35.0,1 for 0.46 25 for 9.25 100 for 35.0
4000 for 800.52 8000 for 1560.4 12000 for 2310.0 20000 for 3793.6 28000 for 5264.84 40000 for 7458.0,1 for 0.47 10 for 3.26 25 for 7.27 100 for 25.24 250 for 58.5 500 for 111.46 1000 for 213.81,1 for 0.47 10 for 3.26 25 for 7.27 100 for 25.24 250 for 58.5 500 for 111.46 1000 for 213.81
2500 for 510.775 5000 for 992.55 7500 for 1467.0 12500 for 2404.75 17500 for 3333.75 25000 for 4717.25,1 for 0.47 10 for 3.26 25 for 7.28 100 for 25.25 250 for 58.54 500 for 111.53 1000 for 213.94,1 for 0.47 10 for 3.26 25 for 7.28 100 for 25.25 250 for 58.54 500 for 111.53 1000 for 213.94
2500 for 515.7 5000 for 1002.15 7500 for 1481.25 12500 for 2428.125 17500 for 3366.3 25000 for 4763.25,1 for 0.47 10 for 3.29 25 for 7.34 100 for 25.49 250 for 59.09 500 for 112.59 1000 for 215.99,1 for 0.47 10 for 3.29 25 for 7.34 100 for 25.49 250 for 59.09 500 for 112.59 1000 for 215.99
2500 for 532.55 5000 for 1035.1 7500 for 1530.075 12500 for 2508.5 17500 for 3477.775 25000 for 4921.25,1 for 0.48 10 for 3.39 25 for 7.57 100 for 26.29 250 for 60.98 500 for 116.22 1000 for 222.99,1 for 0.48 10 for 3.39 25 for 7.57 100 for 26.29 250 for 60.98 500 for 116.22 1000 for 222.99
3000 for 634.83 6000 for 1235.4 9000 for 1827.27 15000 for 2997.9 21000 for 4158.21 30000 for 5886.9,1 for 0.48 10 for 3.39 25 for 7.58 100 for 26.33 250 for 61.05 500 for 116.37 1000 for 223.29,1 for 0.48 10 for 3.39 25 for 7.58 100 for 26.33 250 for 61.05 500 for 116.37 1000 for 223.29
3000 for 626.46 6000 for 1219.02 9000 for 1803.06 15000 for 2958.0 21000 for 4102.77 30000 for 5808.0,1 for 0.48 10 for 3.35 25 for 7.48 100 for 25.99 250 for 60.27 500 for 114.86 1000 for 220.37,1 for 0.48 10 for 3.35 25 for 7.48 100 for 25.99 250 for 60.27 500 for 114.86 1000 for 220.37
3000 for 626.46 6000 for 1219.02 9000 for 1803.06 15000 for 2958.0 21000 for 4102.77 30000 for 5808.0,1 for 0.48 10 for 3.35 25 for 7.48 100 for 25.99 250 for 60.27 500 for 114.86 1000 for 220.37,1 for 0.48 10 for 3.35 25 for 7.48 100 for 25.99 250 for 60.27 500 for 114.86 1000 for 220.37
2500 for 545.55 5000 for 1060.45 7500 for 1567.65 12500 for 2570.25 17500 for 3563.525 25000 for 5043.0,1 for 0.49 10 for 3.47 25 for 7.74 100 for 26.91 250 for 62.43 500 for 119.01 1000 for 228.39,1 for 0.49 10 for 3.47 25 for 7.74 100 for 26.91 250 for 62.43 500 for 119.01 1000 for 228.39
3000 for 647.37 6000 for 1259.94 9000 for 1863.72 15000 for 3057.9 21000 for 4241.37 30000 for 6004.8,1 for 0.49 10 for 3.46 25 for 7.72 100 for 26.83 250 for 62.23 500 for 118.63 1000 for 227.66,1 for 0.49 10 for 3.46 25 for 7.72 100 for 26.83 250 for 62.23 500 for 118.63 1000 for 227.66
4000 for 853.0 8000 for 1663.12 12000 for 2462.52 20000 for 4044.6 28000 for 5614.0 40000 for 7953.2,1 for 0.49 10 for 3.46 25 for 7.72 100 for 26.83 250 for 62.23 500 for 118.63 1000 for 227.66,1 for 0.49 10 for 3.46 25 for 7.72 100 for 26.83 250 for 62.23 500 for 118.63 1000 for 227.66
2500 for 543.8 5000 for 1057.05 7500 for 1562.625 12500 for 2561.875 17500 for 3551.975 25000 for 5026.5,1 for 0.49 10 for 3.46 25 for 7.72 100 for 26.83 250 for 62.23 500 for 118.63 1000 for 227.66,1 for 0.49 10 for 3.46 25 for 7.72 100 for 26.83 250 for 62.23 500 for 118.63 1000 for 227.66
2500 for 545.55 5000 for 1060.45 7500 for 1567.65 12500 for 2570.25 17500 for 3563.525 25000 for 5043.0,1 for 0.49 10 for 3.47 25 for 7.74 100 for 26.91 250 for 62.43 500 for 119.01 1000 for 228.39,1 for 0.49 10 for 3.47 25 for 7.74 100 for 26.91 250 for 62.43 500 for 119.01 1000 for 228.39
3000 for 1080.0,1 for 0.49 25 for 10.25 100 for 36.0,1 for 0.49 25 for 10.25 100 for 36.0
3000 for 1080.0,1 for 0.49 25 for 10.25 100 for 36.0,1 for 0.49 25 for 10.25 100 for 36.0
