quantity_available,manufacturer,unit_price,product_status,product_url,standard_pricing,manufacturer_product_number,datasheet_url,Contact Type,Pitch - Mating,Number of Positions,Number of Rows,Mounting Type,Contact Length - Mating,Contact Length - Post,Insulation Height,Current Rating (Amps),Voltage Rating
15432,Molex,0.52,Active,https://www.digikey.com/en/products/detail/molex/0015910060/614773,1 in Bulk for 0.52  10 in Bulk for 4.45  100 in Bulk for 37.81  500 in Bulk for 168.74  3000 in Bulk for 892.14  6000 in Bulk for 1699.14  12000 in Bulk for 3236.16 ,0015910060,https://www.molex.com/pdm_docs/sd/015910060_sd.pdf,Male Pin,"0.100"" (2.54mm)",6,2,Surface Mount,"0.240"" (6.10mm)",-,"0.090"" (2.29mm)",-,-
9084,Samtec Inc.,0.54,Active,https://www.digikey.com/en/products/detail/samtec-inc/TSW-105-07-F-D/2685910,1 in Bag for 0.54  50 in Bag for 23.5  100 in Bag for 39.0  500 in Bag for 165.0  1000 in Bag for 280.0  2000 in Bag for 480.0  5000 in Bag for 1050.0  10000 in Bag for 1920.4 ,TSW-105-07-F-D,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf,Male Pin,"0.100"" (2.54mm)",10,2,Through Hole,"0.230"" (5.84mm)","0.100"" (2.54mm)","0.100"" (2.54mm)",-,-
13404,TE Connectivity AMP Connectors,0.56,Active,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/5-146250-3/2275755,1 in Bulk for 0.56  10 in Bulk for 4.78  100 in Bulk for 40.57  520 in Bulk for 187.7824  1040 in Bulk for 357.6248  5200 in Bulk for 1596.14  10400 in Bulk for 3039.92 ,5-146250-3,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=146250&DocType=Customer%20Drawing&DocLang=English&PartCntxt=5-146250-3&DocFormat=pdf,Male Pin,"0.100"" (2.54mm)",6,2,Through Hole,"0.318"" (8.08mm)","0.125"" (3.18mm)","0.090"" (2.29mm)",3A,-
2163,Samtec Inc.,0.56,Active,https://www.digikey.com/en/products/detail/samtec-inc/TSM-102-01-L-SV-P-TR/9593647,325 in Tape & Reel (TR) for 182.0  975 in Tape & Reel (TR) for 438.75  3250 in Tape & Reel (TR) for 1332.5  8125 in Tape & Reel (TR) for 3168.75  16250 in Tape & Reel (TR) for 5687.5  1 in Tape & Reel (TR) for 2.32  1 in Cut Tape (CT) for 0.56  1 in Digi-Reel® for 0.56 ,TSM-102-01-L-SV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf,Male Pin,"0.100"" (2.54mm)",2,1,Surface Mount,"0.230"" (5.84mm)",-,"0.100"" (2.54mm)",-,-
9370,Molex,0.61,Active,https://www.digikey.com/en/products/detail/molex/0878980204/3303535,1 in Tray for 0.61  10 in Tray for 5.17  100 in Tray for 43.94  500 in Tray for 196.09  1000 in Tray for 373.44  7200 in Tray for 2339.136  14400 in Tray for 4455.216 ,0878980204,https://www.molex.com/en-us/products/part-detail/878980204?display=pdf,Male Pin,"0.100"" (2.54mm)",2,1,Surface Mount,"0.230"" (5.84mm)",-,"0.098"" (2.50mm)",-,-
2906,Molex,0.64,Active,https://www.digikey.com/en/products/detail/molex/0015912060/614765,1 in Bulk for 0.64  10 in Bulk for 5.4  100 in Bulk for 45.86  500 in Bulk for 204.64  1000 in Bulk for 389.74  5000 in Bulk for 1739.5  10000 in Bulk for 3313.0 ,0015912060,https://www.molex.com/pdm_docs/sd/015912060_sd.pdf,Male Pin,"0.100"" (2.54mm)",6,2,Surface Mount,"0.240"" (6.10mm)",-,"0.090"" (2.29mm)",-,-
40616,Amphenol ICC (FCI),0.72,Active,https://www.digikey.com/en/products/detail/amphenol-cs-fci/67997-210HLF/1878541,1 in Bag for 0.72  10 in Bag for 6.11  400 in Bag for 188.332  800 in Bag for 358.672  1200 in Bag for 522.816  5200 in Bag for 2042.924  10000 in Bag for 3751.6 ,67997-210HLF,https://4donline.ihs.com/images/VipMasterIC/IC/FRCI/FRCIS72121/FRCIS72121-1.pdf?hkey=82A29B72BDB3BD67C626B77C2F032848,Male Pin,"0.100"" (2.54mm)",10,2,Through Hole,"0.230"" (5.84mm)","0.120"" (3.05mm)","0.100"" (2.54mm)",3A,-
10054,Samtec Inc.,0.74,Active,https://www.digikey.com/en/products/detail/samtec-inc/TSM-103-01-T-DV-P-TR/3719674,150 in Tape & Reel (TR) for 105.84  750 in Tape & Reel (TR) for 384.0  1050 in Tape & Reel (TR) for 487.83  7500 in Tape & Reel (TR) for 2328.0  1 in Cut Tape (CT) for 0.74  1 in Digi-Reel® for 0.74 ,TSM-103-01-T-DV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf,Male Pin,"0.100"" (2.54mm)",6,2,Surface Mount,"0.230"" (5.84mm)",-,"0.100"" (2.54mm)",-,-
5254,Samtec Inc.,0.76,Active,https://www.digikey.com/en/products/detail/samtec-inc/TSW-107-07-F-D/6679083,1 in Bag for 0.76  50 in Bag for 33.0  100 in Bag for 55.0  500 in Bag for 235.0  1000 in Bag for 390.0  2000 in Bag for 680.0  5000 in Bag for 1500.0  10000 in Bag for 2864.4 ,TSW-107-07-F-D,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf,Male Pin,"0.100"" (2.54mm)",14,2,Through Hole,"0.230"" (5.84mm)","0.100"" (2.54mm)","0.100"" (2.54mm)",-,-
41843,Molex,0.77,Active,https://www.digikey.com/en/products/detail/molex/0015910100/614775,1 in Tube for 0.77  42 in Tube for 24.9102  126 in Tube for 69.13998  504 in Tube for 250.77024  1008 in Tube for 477.60048  5040 in Tube for 2144.4696 ,0015910100,https://www.molex.com/pdm_docs/sd/015910100_sd.pdf,Male Pin,"0.100"" (2.54mm)",10,2,Surface Mount,"0.240"" (6.10mm)",-,"0.090"" (2.29mm)",-,-
12969,Samtec Inc.,0.78,Active,https://www.digikey.com/en/products/detail/samtec-inc/TSM-102-01-L-DV-P-TR/6561702,200 in Tape & Reel (TR) for 145.84  600 in Tape & Reel (TR) for 360.42  1000 in Tape & Reel (TR) for 540.1  5000 in Tape & Reel (TR) for 2135.0  10000 in Tape & Reel (TR) for 3265.0  90 in Tape & Reel (TR) for 71.1  1080 in Tape & Reel (TR) for 658.8  2070 in Tape & Reel (TR) for 1200.6  5040 in Tape & Reel (TR) for 2469.6  1 in Tape & Reel (TR) for 2.13  1 in Cut Tape (CT) for 0.78  1 in Digi-Reel® for 0.78 ,TSM-102-01-L-DV-P-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf,Male Pin,"0.100"" (2.54mm)",4,2,Surface Mount,"0.230"" (5.84mm)",-,"0.100"" (2.54mm)",-,-
2007,Samtec Inc.,0.82,Active,https://www.digikey.com/en/products/detail/samtec-inc/TSM-102-01-L-SH-A-K-TR/7630496,425 in Tape & Reel (TR) for 348.5  850 in Tape & Reel (TR) for 561.0  1275 in Tape & Reel (TR) for 777.75  10625 in Tape & Reel (TR) for 5569.2  1 in Cut Tape (CT) for 0.82 ,TSM-102-01-L-SH-A-K-TR,https://suddendocs.samtec.com/catalog_english/tsm.pdf,Male Pin,"0.100"" (2.54mm)",2,1,"Surface Mount, Right Angle","0.230"" (5.84mm)",-,"0.120"" (3.05mm)",-,-
